ml_item_id,sku,current_category,predicted_category,current_domain,predicted_domain,vendidos
MLB6564859394,HYX85849,MLB7457,MLB196208,MLB-HEADPHONES,MLB-HEADPHONES,0
MLB4582557537,HYX87546,MLB3378,MLB3843,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB4582542683,HYX87543,MLB3378,MLB3843,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB6563281152,HYX86965,MLB456571,MLB456572,MLB-HEADPHONE_STANDS,MLB-HEADPHONE_STANDS,0
MLB6646508218,HYX83672,MLB11529,MLB418047,MLB-TV_AND_MONITOR_STANDS_AND_WALL_HANGERS,MLB-TV_AND_MONITOR_STANDS_AND_WALL_HANGERS,0
MLB6681942972,HYX85484,MLB439409,MLB270243,MLB-MICROPHONES,MLB-MICROPHONES,0
MLB6682014334,HYX84796,MLB3378,MLB3843,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB4640510357,HYX84794,MLB3378,MLB3843,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB4640509959,HYX85089,MLB7457,MLB196208,MLB-HEADPHONES,MLB-HEADPHONES,0
MLB6711764280,HYX87542,MLB3843,MLB3378,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB4583160961,HYX86895,MLB7457,MLB196208,MLB-HEADPHONES,MLB-HEADPHONES,0
MLB6573107384,HYX86183,MLB439409,MLB4469,MLB-MICROPHONES,MLB-MICROPHONES,0
MLB6571298252,HYX84795,MLB3378,MLB3843,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB4591798837,HYX84981,MLB1664,MLB233845,MLB-HEADPHONES,MLB-HEADPHONES,0
MLB6619304628,HYX86949,MLB233845,MLB1664,MLB-HEADPHONES,MLB-HEADPHONES,0
MLB4612599843,HYX87543,MLB3378,MLB3843,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB4612540513,HYX86960,MLB8279,MLB439409,MLB-MICROPHONES,MLB-MICROPHONES,0
MLB6646508266,HYX84813,MLB433449,MLB435616,MLB-POWER_INVERTERS,MLB-POWER_INVERTERS,0
MLB6648864104,HYX82771,MLB270088,MLB431815,MLB-NETWORK_CABLES,MLB-NETWORK_CABLES,0
MLB6655134254,HYX85851,MLB7457,MLB196208,MLB-HEADPHONES,MLB-HEADPHONES,0
MLB4640509095,HYX83154,MLB431830,MLB432437,MLB-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,MLB-AUDIO_AND_VIDEO_CABLES_AND_ADAPTERS,0
MLB4640509685,HYX87546,MLB3378,MLB3843,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB4582569523,HYX86065,MLB196208,MLB7457,MLB-HEADPHONES,MLB-HEADPHONES,0
MLB6572993150,HYX86246,MLB8279,MLB4469,MLB-MICROPHONES,MLB-MICROPHONES,0
MLB4585721933,HYX84057,MLB455686,MLB11507,MLB-SPEAKERS,MLB-SPEAKERS,0
MLB6564964670,HYX86816,MLB196208,MLB7457,MLB-HEADPHONES,MLB-HEADPHONES,0
MLB6819860280,HYX84825,MLB433449,MLB418071,MLB-POWER_INVERTERS,MLB-POWER_INVERTERS,0
MLB4701050595,HYX84825,MLB433449,MLB418071,MLB-POWER_INVERTERS,MLB-POWER_INVERTERS,0