ml_item_id,sku_ml,sku_local,issues,title_score,desc_status,match_strategy
MLB6635308528,C11-ULTRA,,unlinked,0,ok,
MLB6635351972,C11-ULTRA,,unlinked,0,ok,
MLB6723876836,ATC-COMP180W,,unlinked,0,ok,
MLB4658011631,ATC-GT3BR,,unlinked,0,ok,
MLB4591797813,HYX86578,HYX86578,title|description,0.33,ok,produto_id
MLB6618198782,HYX84365,HYX84365,description,0.83,ok,produto_id
MLB4612539901,HYX83589,HYX83589,description,0.62,ok,produto_id
MLB6646508290,HYX84359,HYX84359,description,0.55,ok,produto_id
MLB4620397277,HYX85860,HYX85860,description,0.89,empty,produto_id
MLB6649111042,HYX86558,HYX86558,description,0.9,empty,produto_id
MLB6682005862,HYX82007,HYX82007,description,1,empty,produto_id
MLB4639428239,HYX80610,HYX80610,description,0.5,ok,produto_id
MLB4656325443,HYX84492,HYX84492,description,0.56,html_literal,produto_id
MLB6646643806,HYX84256,HYX84256,description|title,0.44,html_literal,produto_id
MLB4591812661,HYX79694,HYX79694,description|title,0.29,html_literal,produto_id
MLB6619304628,HYX86949,HYX86949,description,0.55,empty,produto_id
MLB6588226160,HYX86954,HYX86954,description,0.6,empty,produto_id
MLB6630723090,HYX83449,HYX83449,description,0.55,ok,produto_id
MLB6646508058,HYX86941,HYX86941,description,0.45,empty,produto_id
MLB6646508038,HYX86946,HYX86946,description,0.56,empty,produto_id
MLB6646506668,HYX84605,HYX84605,title|description,0.4,ok,produto_id
MLB4620839811,HYX86958,HYX86958,description,0.64,ok,produto_id
MLB4623519289,HYX84358,HYX84358,description,0.67,ok,produto_id
MLB4623531819,HYX74983,HYX74983,title|description,0.42,ok,produto_id
MLB4620768339,HYX86957,HYX86957,title|description,0.27,ok,produto_id
MLB6681943142,HYX85750,HYX85750,description,0.45,empty,produto_id
MLB6732979218,HYX86270,HYX86270,description,0.86,empty,produto_id
MLB6649085068,HYX75089,HYX75089,title|description,0.38,ok,produto_id
MLB6711246128,HYX87438,HYX87438,description,0.45,ok,produto_id
MLB6818543476,HYX87723,HYX87723,description,0.89,empty,produto_id
MLB6564964670,HYX86816,HYX86816,description,0.67,empty,produto_id
MLB4620839889,HYX84876,HYX84876,title,0.32,ok,produto_id
MLB6646643682,HYX84961,HYX84961,title,0.42,ok,produto_id
MLB6572968828,HYX83458,HYX83458,title,0.44,ok,produto_id
MLB6588226198,HYX86324,HYX86324,title,0.36,ok,produto_id
MLB4612599785,HYX86955,HYX86955,title,0.25,ok,produto_id
MLB4591747155,HYX87779,HYX87779,title|brand,0.33,ok,produto_id
MLB6630722754,HYX75088,HYX75088,title,0.33,ok,produto_id
MLB6646642726,HYX86896,HYX86896,title,0.43,ok,produto_id
MLB6646508218,HYX83672,HYX83672,title,0.36,ok,produto_id
MLB6646506832,HYX83833,HYX83833,title,0.33,ok,produto_id
MLB6646382226,HYX85816,HYX85816,title,0.33,ok,produto_id
MLB6646381024,HYX85146,HYX85146,title,0.14,ok,produto_id
MLB4620840011,HYX86350,HYX86350,title,0.36,ok,produto_id
MLB4621151913,HYX86599,HYX86599,title,0.38,ok,produto_id
MLB4621151671,HYX87582,HYX87582,title,0.31,ok,produto_id
MLB4620602535,HYX86367,HYX86367,title|brand,0.38,ok,produto_id
MLB4620840017,HYX84985,HYX84985,title,0.27,ok,produto_id
MLB4622930445,HYX84822,HYX84822,title,0.42,ok,produto_id
MLB6655262764,HYX87541,HYX87541,title,0.44,ok,produto_id
MLB6682483632,HYX86132,HYX86132,title,0.33,ok,produto_id
MLB6655134142,HYX84956,HYX84956,title,0.13,ok,produto_id
MLB6655134252,HYX65398,HYX65398,title,0.36,ok,produto_id
MLB6655134278,HYX84875,HYX84875,title,0.33,ok,produto_id
MLB6681942972,HYX85484,HYX85484,title,0.21,ok,produto_id
MLB4582815039,HYX86065,HYX86065,title,0.27,ok,produto_id
MLB4640509959,HYX85089,HYX85089,title,0.38,ok,produto_id
MLB4583160961,HYX86895,HYX86895,title,0.4,ok,produto_id
MLB4585721899,HYX85066,HYX85066,title,0.38,ok,produto_id
MLB4621088419,HYX83670,HYX83670,title,0.4,ok,produto_id
MLB6655134104,HYX85857,HYX85857,title,0.38,ok,produto_id
MLB6563575262,HYX75099,HYX75099,title,0.44,ok,produto_id
MLB4582586277,HYX29171,HYX29171,title,0.4,ok,produto_id
MLB6563496572,HYX86108,HYX86108,title,0.44,ok,produto_id
MLB4612598523,HYX85091,HYX85091,title,0.42,ok,produto_id
MLB6563438884,HYX86960,HYX86960,title,0.44,ok,produto_id
MLB6571298252,HYX84795,HYX84795,title,0.29,ok,produto_id
MLB4585721531,HYX83459,HYX83459,title,0.42,ok,produto_id
MLB4591747113,HYX87016,HYX87016,title,0.27,ok,produto_id
MLB6630710448,HYX61221,HYX61221,title,0.42,ok,produto_id
MLB4612599843,HYX87543,HYX87543,title,0.26,ok,produto_id
MLB4612598749,HYX75087,HYX75087,title,0.27,ok,produto_id
MLB4612540513,HYX86960,HYX86960,title,0.25,ok,produto_id
MLB6646470886,HYX85490,HYX85490,title,0.18,ok,produto_id
MLB6646470912,HYX86936,HYX86936,title,0.36,ok,produto_id
MLB6646469162,HYX85278,HYX85278,title|brand,0.36,ok,produto_id
MLB4621151677,HYX85495,HYX85495,title,0.4,ok,produto_id
MLB4620839945,HYX85504,HYX85504,title,0.3,ok,produto_id
MLB4620397347,HYX84487,HYX84487,title,0.33,ok,produto_id
MLB6649085078,HYX85972,HYX85972,title,0.31,ok,produto_id
MLB6649110780,HYX74173,HYX74173,title,0.33,ok,produto_id
MLB6649084496,HYX84323,HYX84323,title,0.27,ok,produto_id
MLB6648864104,HYX82771,HYX82771,title,0.42,ok,produto_id
MLB4622930451,HYX85567,HYX85567,title,0.44,ok,produto_id
MLB6655262986,HYX85030,HYX85030,title,0.36,ok,produto_id
MLB4622930443,HYX84988,HYX84988,title,0.4,ok,produto_id
MLB6655134262,HYX85489,HYX85489,title,0.27,ok,produto_id
MLB6655134254,HYX85851,HYX85851,title,0.27,ok,produto_id
MLB6655134296,HYX83437,HYX83437,title,0.21,ok,produto_id
MLB6682014288,HYX86183,HYX86183,title|brand,0.31,ok,produto_id
MLB6655134134,HYX84486,HYX84486,title,0.25,ok,produto_id
MLB4640510315,HYX87784,HYX87784,title,0.27,ok,produto_id
MLB4640509151,HYX86967,HYX86967,title,0.42,ok,produto_id
MLB4640509095,HYX83154,HYX83154,title|brand,0.11,ok,produto_id
MLB4640509685,HYX87546,HYX87546,title,0.3,ok,produto_id
MLB4612540519,HYX85491,HYX85491,title,0.44,ok,produto_id
MLB6587836774,HYX85971,HYX85971,title,0.25,ok,produto_id
MLB6650868432,HYX7808,HYX7808,title,0.31,ok,produto_id
MLB4612372705,HYX29171,HYX29171,title,0.3,ok,produto_id
MLB4622927397,HYX82769,HYX82769,title,0.42,ok,produto_id
MLB4622930471,HYX82731,HYX82731,title,0.27,ok,produto_id
MLB6655262916,HYX82803,HYX82803,title,0.42,ok,produto_id
MLB6711248344,HYX84563,HYX84563,title,0.36,ok,produto_id
MLB4620768673,HYX83669,HYX83669,title,0.29,ok,produto_id
MLB6573106934,HYX86182,HYX86182,brand,1,ok,produto_id
MLB6646643776,HYX82433,HYX82433,brand,0.64,ok,produto_id
MLB6573107384,HYX86183,HYX86183,brand,0.9,ok,produto_id
MLB4585680231,HYX85278,HYX85278,brand,1,ok,produto_id
MLB4621152043,HYX86128,HYX86128,brand,0.63,ok,produto_id
MLB6648863938,HYX86120,HYX86120,brand,0.45,ok,produto_id
MLB6655262944,HYX83013,HYX83013,brand,0.83,ok,produto_id
MLB6807823666,HYX86130,HYX86130,brand,0.75,ok,produto_id
MLB4585898157,HYX82464,HYX82464,gtin,1,ok,produto_id